@relation Dataset_clustered

@attribute Instance_number numeric
@attribute ﻿marmerkeramikubin numeric
@attribute semenbatatanah numeric
@attribute bambukayupapankualitasrendah numeric
@attribute lainnya numeric
@attribute jambansendiri numeric
@attribute jambanbersamaumum numeric
@attribute 450w numeric
@attribute 900w numeric
@attribute 1300w numeric
@attribute 2200w numeric
@attribute Cluster {cluster0,cluster1}

@data
0,404,239,2,0,349,296,568,68,7,0,cluster1
1,1095,430,21,2,603,932,896,379,93,12,cluster0
2,330,85,6,0,197,225,124,257,7,0,cluster1
3,402,217,16,0,302,326,275,176,10,0,cluster1
4,152,85,0,2,129,119,196,45,5,0,cluster1
5,1302,381,16,0,744,1012,743,369,9,2,cluster0
6,571,198,11,57,472,390,435,375,21,1,cluster1
7,876,498,38,0,610,810,1067,315,10,0,cluster0
8,429,217,11,0,292,362,362,198,18,0,cluster1
9,443,198,5,0,329,319,449,130,13,1,cluster1
10,787,327,10,0,536,587,512,336,20,1,cluster1
11,1431,434,10,0,806,1079,1478,348,29,0,cluster0
12,1486,619,41,1,1112,1010,1386,591,33,5,cluster0
13,1305,754,34,1,1169,939,1023,520,40,3,cluster0
14,1248,571,7,1,912,912,789,620,28,1,cluster0
15,1429,371,12,0,943,888,548,784,43,6,cluster0
16,1161,203,12,16,698,723,267,606,11,6,cluster0
17,1666,714,36,4,1357,1088,839,1047,27,1,cluster0
18,2001,447,43,0,1172,1344,789,1349,55,4,cluster0
19,433,188,4,0,292,335,339,264,15,2,cluster1
20,324,98,9,0,280,149,332,84,7,0,cluster1
21,509,276,9,0,465,320,557,223,19,1,cluster1
22,735,180,5,0,520,400,623,243,31,1,cluster1
23,945,170,17,7,612,533,488,360,31,4,cluster1
24,847,311,29,0,690,510,699,451,22,2,cluster0
25,309,114,17,0,237,205,229,190,9,0,cluster1
26,628,206,16,4,414,446,410,334,10,0,cluster1
27,429,148,34,1,162,451,230,146,8,0,cluster1
28,274,141,8,0,195,230,181,170,6,1,cluster1
29,405,146,0,0,236,347,207,183,14,0,cluster1
30,145,27,0,1,53,115,49,73,4,1,cluster1
31,611,267,21,0,310,608,239,177,6,6,cluster1
32,659,357,13,2,464,565,557,215,22,0,cluster1
33,346,119,7,1,246,231,183,143,9,0,cluster1
34,263,84,15,3,186,185,86,176,33,3,cluster1
35,142,53,7,0,73,138,65,114,6,0,cluster1
36,173,34,6,14,77,156,65,145,13,0,cluster1
37,171,47,13,0,93,138,92,139,0,0,cluster1
38,196,50,4,0,134,121,94,131,6,0,cluster1
39,112,30,19,0,77,86,72,44,2,0,cluster1
40,37,62,12,0,56,57,89,21,3,0,cluster1
41,200,66,23,0,77,231,211,87,5,2,cluster1
42,320,87,11,0,157,302,349,105,4,0,cluster1
43,233,82,38,0,83,270,271,76,6,1,cluster1
44,172,72,2,0,115,133,134,105,9,0,cluster1
45,449,213,7,1,339,332,333,242,5,0,cluster1
46,235,220,1,0,234,229,206,203,12,4,cluster1
47,825,236,28,11,484,643,641,416,23,0,cluster1
48,758,357,1,0,707,418,308,425,27,0,cluster1
49,993,410,5,0,919,501,641,417,17,0,cluster0
50,1537,378,15,0,1509,420,1181,585,38,1,cluster0
51,644,233,14,0,532,351,356,258,15,0,cluster1
52,189,97,5,4,183,112,202,85,0,0,cluster1
53,737,383,6,3,738,342,617,197,23,3,cluster1
54,509,135,7,5,501,156,204,307,9,2,cluster1
55,293,90,3,1,249,139,244,115,16,1,cluster1
56,480,177,2,0,470,187,358,211,9,0,cluster1
